Team,Icon
Miami (OH),"Miami Ohio<a href=""http://https://miamiredhawks.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/miamioh3-1024x776-1-300x227.png"" alt="""" width=""300"" height=""227"" class=""alignnone size-medium wp-image-119"" /></a>"
Rutgers,"Rutgers<a href=""http://https://scarletknights.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/rutgers-300x266.png"" alt="""" width=""300"" height=""266"" class=""alignnone size-medium wp-image-2306"" /></a>"
Central Mich.,"Central Michigan<a href=""http://https://cmuchippewas.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/centralmichigan2-1024x725-1-300x212.png"" alt=""Central Michigan logo"" width=""300"" height=""212"" class=""alignnone size-medium wp-image-94"" /></a>"
Georgia St.,"Georgia State<a href=""http://https://georgiastatesports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/georgiastate2-1024x841-1-300x246.png"" alt=""Georgia State Logo"" width=""300"" height=""246"" class=""alignnone size-medium wp-image-179"" /></a>"
Western Mich.,"Western Michigan<a href=""http://https://wmubroncos.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/westmich2-1024x775-1-300x227.png"" alt="""" width=""300"" height=""227"" class=""alignnone size-medium wp-image-158"" /></a>"
Georgia Tech,"Georgia Tech<a href=""http://https://ramblinwreck.com/sports/m-footbl/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/08/gt4-300x189.png"" alt="""" width=""300"" height=""189"" class=""alignnone size-medium wp-image-2360"" /></a>"
Colorado St.,"Colorado State<a href=""http://https://csurams.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/csu2-1024x1024-1-300x300.png"" alt=""Colorado State logo"" width=""300"" height=""300"" class=""alignnone size-medium wp-image-98"" /></a>"
South Fla.,"USF<a href=""http://https://gousfbulls.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/usf2-1024x820-1-300x240.png"" alt=""Southern Florida logo"" width=""300"" height=""240"" class=""alignnone size-medium wp-image-154"" /></a>"
Troy,"Troy<a href=""http://https://troytrojans.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/troy2-907x1024-1-266x300.png"" alt=""Troy logo"" width=""266"" height=""300"" class=""alignnone size-medium wp-image-198"" /></a>"
Navy,"Navy<a href=""http://https://navysports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/07/navy5-243x300.png"" alt="""" width=""243"" height=""300"" class=""alignnone size-medium wp-image-2192"" /></a>"
James Madison,"James Madison<a href=""http://https://jmusports.com/sports/football?path=football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/06/jmu2-300x99.png"" alt=""James Madison logo"" width=""300"" height=""99"" class=""alignnone size-medium wp-image-1918"" /></a>"
Wyoming,"Wyoming<a href=""http://https://gowyo.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/wyoming2-590x1024-1-173x300.png"" alt=""Wyoming logo"" width=""173"" height=""300"" class=""alignnone size-medium wp-image-161"" /></a>"
San Jose St.,"San Jose State<a href=""http://https://sjsuspartans.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/sjs1-1024x368-1-300x108.png"" alt=""San Jose State logo"" width=""300"" height=""108"" class=""alignnone size-medium wp-image-139"" /></a>"
Fla. Atlantic,"Florida Atlantic<a href=""http://https://fausports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/fau1-1024x655-1-300x192.png"" alt=""Florida Atlantic logo"" width=""300"" height=""192"" class=""alignnone size-medium wp-image-102"" /></a>"
Kansas,"Kansas<a href=""http://https://kuathletics.com/sports/football/""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/kansas2-1024x910-1-300x267.png"" alt=""Kansas logo"" width=""300"" height=""267"" class=""alignnone size-medium wp-image-111"" /></a>"
Kent St.,"Kent State<a href=""http://https://kentstatesports.com/sports/football""><img src=""https://justcollegefootball.net/wp-content/uploads/2022/03/kentst2-1024x692-1-300x203.png"" alt=""Kent State"" width=""300"" height=""203"" class=""alignnone size-medium wp-image-112"" /></a>"
